Planet id,Planet cloud_percent,Planet snow_ice_percent,Planet capture_time,planet_geometry,Landsat ID,Landsat cloud_cover_right,Landsat timestamp,Landsat geometry,time_diff
20230629_220048_88_2439,20,26,2023-06-29 22:00:48.881215+00:00,"POLYGON ((-72.35700885434721 81.64155201965622, -73.45591732403541 81.71419344703176, -74.26151802122705 81.44453631245057, -73.18531193496466 81.37400265220427, -72.35700885434721 81.64155201965622))",LC08_062245_20230629,39.77,2023-06-29 22:01:04+00:00,"POLYGON ((-72.35700885434721 81.64155201965622, -73.45591732403541 81.71419344703176, -74.26151802122705 81.44453631245057, -73.18531193496466 81.37400265220427, -72.35700885434721 81.64155201965622))",0 days 00:00:15.118785
20230702_192016_98_2426,23,17,2023-07-02 19:20:16.984148+00:00,"POLYGON ((-113.01773072811712 70.32366043205435, -113.21305535942639 70.17247109843166, -112.46883362563095 70.06010857797396, -112.26769037314244 70.21100192461671, -113.01773072811712 70.32366043205435))",LC08_051011_20230702,22.79,2023-07-02 19:19:48+00:00,"POLYGON ((-113.01773072811712 70.32366043205435, -113.21305535942639 70.17247109843166, -112.46883362563095 70.06010857797396, -112.26769037314244 70.21100192461671, -113.01773072811712 70.32366043205435))",0 days 00:00:28.984148
20230704_005232_37_24ba,38,35,2023-07-04 00:52:32.377351+00:00,"POLYGON ((-91.9322500962836 79.20315836583329, -92.63665149718496 79.3435581218815, -93.8773116149823 79.12139409979362, -93.17475878433228 78.98418076321218, -91.9322500962836 79.20315836583329))",LC08_090241_20230704,31.42,2023-07-04 00:52:34+00:00,"POLYGON ((-91.9322500962836 79.20315836583329, -92.63665149718496 79.3435581218815, -93.8773116149823 79.12139409979362, -93.17475878433228 78.98418076321218, -91.9322500962836 79.20315836583329))",0 days 00:00:01.622649
20230704_005237_09_24ba,13,63,2023-07-04 00:52:37.098153+00:00,"POLYGON ((-93.04399068139035 79.42057431314181, -93.77707748620125 79.5579646173278, -95.01358210558074 79.33150077032144, -94.28572636984116 79.19684277932888, -93.04399068139035 79.42057431314181))",LC08_090242_20230704,51.35,2023-07-04 00:52:58+00:00,"POLYGON ((-93.04399068139035 79.42057431314181, -93.77707748620125 79.5579646173278, -95.01358210558074 79.33150077032144, -94.28572636984116 79.19684277932888, -93.04399068139035 79.42057431314181))",0 days 00:00:20.901847
20230705_230231_12_242b,16,64,2023-07-05 23:02:31.123331+00:00,"POLYGON ((-87.34641619077799 81.99906991718954, -88.49053629581013 82.07632792400653, -89.38184789178742 81.80887327190788, -88.2673946700368 81.73404262084489, -87.34641619077799 81.99906991718954))",LC08_072245_20230705,31.28,2023-07-05 23:02:56+00:00,"POLYGON ((-87.34641619077799 81.99906991718954, -88.49053629581013 82.07632792400653, -89.38184789178742 81.80887327190788, -88.2673946700368 81.73404262084489, -87.34641619077799 81.99906991718954))",0 days 00:00:24.876669
20230706_021744_19_2489,29,26,2023-07-06 02:17:44.195513+00:00,"POLYGON ((-89.58932820641358 74.47384782295194, -89.91164077671843 74.63276095772349, -90.88833145877953 74.4855843834843, -90.5555762661226 74.32874770592099, -89.58932820641358 74.47384782295194))",LC08_104237_20230706,77.41,2023-07-06 02:17:32+00:00,"POLYGON ((-89.58932820641358 74.47384782295194, -89.91164077671843 74.63276095772349, -90.88833145877953 74.4855843834843, -90.5555762661226 74.32874770592099, -89.58932820641358 74.47384782295194))",0 days 00:00:12.195513
20230706_021830_37_2489,15,33,2023-07-06 02:18:30.378320+00:00,"POLYGON ((-95.91662979137635 76.9941729672201, -96.3700797777235 77.1409901990584, -97.45527159061314 76.96763521796902, -96.99601249481047 76.82292878504671, -95.91662979137635 76.9941729672201))",LC08_104239_20230706,14.61,2023-07-06 02:18:20+00:00,"POLYGON ((-95.91662979137635 76.9941729672201, -96.3700797777235 77.1409901990584, -97.45527159061314 76.96763521796902, -96.99601249481047 76.82292878504671, -95.91662979137635 76.9941729672201))",0 days 00:00:10.378320
20230708_215448_75_24ba,11,48,2023-07-08 21:54:48.756912+00:00,"POLYGON ((-60.20767446834596 81.31682208743985, -61.2626518407256 81.4264790339854, -62.432383994494565 81.15717634580452, -61.39742386276657 81.05161925823388, -60.20767446834596 81.31682208743985))",LC08_061244_20230708,48.02,2023-07-08 21:54:35+00:00,"POLYGON ((-60.20767446834596 81.31682208743985, -61.2626518407256 81.4264790339854, -62.432383994494565 81.15717634580452, -61.39742386276657 81.05161925823388, -60.20767446834596 81.31682208743985))",0 days 00:00:13.756912
20230708_215514_37_24ba,11,45,2023-07-08 21:55:14.374445+00:00,"POLYGON ((-70.07068035497063 82.13727098161645, -71.35056808173603 82.21801718399531, -72.28802627994845 81.92393448115452, -71.04613271952422 81.84615458862046, -70.07068035497063 82.13727098161645))",LC08_061245_20230708,14.41,2023-07-08 21:54:59+00:00,"POLYGON ((-70.07068035497063 82.13727098161645, -71.35056808173603 82.21801718399531, -72.28802627994845 81.92393448115452, -71.04613271952422 81.84615458862046, -70.07068035497063 82.13727098161645))",0 days 00:00:15.374445
20230714_112730_21_2489,42,26,2023-07-14 11:27:30.215186+00:00,"POLYGON ((18.241513152981387 77.8316508150163, 17.70205755704614 77.6929460840357, 18.79244593236089 77.50913702680518, 19.33795962331576 77.64505361544785, 18.241513152981387 77.8316508150163))",LC08_208005_20230714,90.57,2023-07-14 11:27:47+00:00,"POLYGON ((18.241513152981387 77.8316508150163, 17.70205755704614 77.6929460840357, 18.79244593236089 77.50913702680518, 19.33795962331576 77.64505361544785, 18.241513152981387 77.8316508150163))",0 days 00:00:16.784814
20230714_193906_07_2490,15,60,2023-07-14 19:39:06.071519+00:00,"POLYGON ((-41.234017748091006 82.30403260124889, -42.528819029145396 82.33713987446525, -42.91483760790015 82.04547355728698, -41.658635175868994 82.01393072215183, -41.234017748091006 82.30403260124889))",LC08_039245_20230714,23.1,2023-07-14 19:39:02+00:00,"POLYGON ((-41.234017748091006 82.30403260124889, -42.528819029145396 82.33713987446525, -42.91483760790015 82.04547355728698, -41.658635175868994 82.01393072215183, -41.234017748091006 82.30403260124889))",0 days 00:00:04.071519
20230719_000904_99_247a,13,84,2023-07-19 00:09:04.990344+00:00,"POLYGON ((-70.3163571603723 78.29016030493884, -70.89294519598205 78.42200307531647, -71.97787250587308 78.22366814380281, -71.3959438123176 78.09351444347669, -70.3163571603723 78.29016030493884))",LC08_083240_20230719,18.2,2023-07-19 00:08:58+00:00,"POLYGON ((-70.3163571603723 78.29016030493884, -70.89294519598205 78.42200307531647, -71.97787250587308 78.22366814380281, -71.3959438123176 78.09351444347669, -70.3163571603723 78.29016030493884))",0 days 00:00:06.990344
20230719_181822_98_2458,35,46,2023-07-19 18:18:22.986386+00:00,"POLYGON ((-10.228633326033 81.7131639212467, -11.304307752333148 81.80511734286338, -12.349497339794333 81.54963974042649, -11.298816085884287 81.46070831996236, -10.228633326033 81.7131639212467))",LC08_026244_20230719,39.11,2023-07-19 18:18:17+00:00,"POLYGON ((-10.228633326033 81.7131639212467, -11.304307752333148 81.80511734286338, -12.349497339794333 81.54963974042649, -11.298816085884287 81.46070831996236, -10.228633326033 81.7131639212467))",0 days 00:00:05.986386
20230720_190412_94_227a,27,22,2023-07-20 19:04:12.947506+00:00,"POLYGON ((-76.71990778833954 80.98403948749713, -77.68416169250777 80.8856788991032, -76.66037900157183 80.63012520797989, -75.70791552671459 80.72585126559707, -76.71990778833954 80.98403948749713))",LC08_049002_20230720,21.66,2023-07-20 19:03:56+00:00,"POLYGON ((-76.71990778833954 80.98403948749713, -77.68416169250777 80.8856788991032, -76.66037900157183 80.63012520797989, -75.70791552671459 80.72585126559707, -76.71990778833954 80.98403948749713))",0 days 00:00:16.947506
20230720_204136_10_2488,33,50,2023-07-20 20:41:36.105059+00:00,"POLYGON ((-72.56503016312118 82.49054544520114, -73.9032980414368 82.47735631500647, -73.71404101385191 82.18398965477292, -72.42266127387754 82.19692200861567, -72.56503016312118 82.49054544520114))",LC08_049247_20230720,17.23,2023-07-20 20:41:37+00:00,"POLYGON ((-72.56503016312118 82.49054544520114, -73.9032980414368 82.47735631500647, -73.71404101385191 82.18398965477292, -72.42266127387754 82.19692200861567, -72.56503016312118 82.49054544520114))",0 days 00:00:00.894941
20230720_204148_94_2488,30,42,2023-07-20 20:41:48.948995+00:00,"POLYGON ((-78.78542698907076 82.39381259874177, -80.08720010282016 82.36185873650703, -79.67779344972867 82.07187128912074, -78.41744106111653 82.10298705726662, -78.78542698907076 82.39381259874177))",LC08_049247_20230720,17.23,2023-07-20 20:41:37+00:00,"POLYGON ((-78.78542698907076 82.39381259874177, -80.08720010282016 82.36185873650703, -79.67779344972867 82.07187128912074, -78.41744106111653 82.10298705726662, -78.78542698907076 82.39381259874177))",0 days 00:00:11.948995
20230722_004053_48_24c7,39,13,2023-07-22 00:40:53.489520+00:00,"POLYGON ((-90.88877215802331 79.30682359509021, -91.6269385345179 79.44244345985531, -92.838639212865 79.2105328548803, -92.09645706476262 79.07741374514399, -90.88877215802331 79.30682359509021))",LC08_088242_20230722,26.82,2023-07-22 00:40:41+00:00,"POLYGON ((-90.88877215802331 79.30682359509021, -91.6269385345179 79.44244345985531, -92.838639212865 79.2105328548803, -92.09645706476262 79.07741374514399, -90.88877215802331 79.30682359509021))",0 days 00:00:12.489520
